Type,Body_Type,Region,Make,Make_Tier,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2019,1.4,91000,32000
Silverado,Pickup,Abha,Chevrolet,Midrange,Automatic,Saudi,Standard,2018,4.3,70000,77000
Tahoe,SUV,Jazan,Chevrolet,Midrange,Automatic,Other,Semi Full,2007,5.3,228400,39000
Furniture,Other,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2011,2.7,325,32000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2018,2.4,90000,57000
Golf,Other,Riyadh,Volkswagen,Midrange,Automatic,Gulf Arabic,Full,2016,2.0,111000,65000
Camry,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2018,2.5,85000,75000
Taurus,Sedan,Dammam,Ford,Midrange,Automatic,Other,Full,2015,3.5,122000,69000
Tahoe,SUV,Dammam,Chevrolet,Midrange,Automatic,Saudi,Full,2014,5.7,205000,70000
C,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Other,Full,2020,2.0,24000,267000
Yukon,SUV,Riyadh,GMC,Midrange,Automatic,Saudi,Standard,2005,5.3,409000,20000
6,Sedan,Riyadh,Mazda,Midrange,Automatic,Saudi,Standard,2018,2.5,68263,66500
Senta fe,SUV,Dammam,Hyundai,Midrange,Automatic,Saudi,Semi Full,2016,3.3,212000,57000
Land Cruiser,SUV,Dammam,Toyota,Midrange,Automatic,Gulf Arabic,Semi Full,2015,4.6,248000,135000
IS,Sedan,Riyadh,Lexus,Premium Luxury,Automatic,Saudi,Semi Full,2018,3.5,131,166000
Flex,Other,Riyadh,Ford,Midrange,Automatic,Gulf Arabic,Standard,2017,2.5,110000,67000
Accord,Sedan,Riyadh,Honda,Midrange,Automatic,Saudi,Semi Full,2013,2.4,250920,55000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Full,2013,2.6,280,25000
CS95,SUV,Jeddah,Changan,Entry Level,Automatic,Saudi,Full,2019,2.0,47000,77000
ES,Luxury,Riyadh,Lexus,Premium Luxury,Automatic,Gulf Arabic,Full,2018,3.5,128000,93500
Sierra,SUV,Dammam,GMC,Midrange,Automatic,Gulf Arabic,Semi Full,2006,5.3,283000,29000
Tahoe,SUV,Dammam,Chevrolet,Midrange,Automatic,Other,Full,2015,5.3,193000,118000
Tahoe,SUV,Dammam,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2012,5.3,250385,47500
Rio,Hatchback,Jeddah,Kia,Midrange,Manual,Saudi,Standard,2008,1.0,323880,9000
Accent,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Standard,2017,1.6,137000,29000
Odyssey,MPV,Riyadh,Honda,Midrange,Automatic,Saudi,Standard,2010,4.6,200000,22000
Sonata,Sedan,Al-Medina,Hyundai,Midrange,Automatic,Saudi,Semi Full,2007,2.4,255559,15000
Patrol,SUV,Riyadh,Nissan,Midrange,Automatic,Saudi,Full,2020,1.4,89000,210000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2018,1.4,93788,29000
S,Other,Dammam,Mercedes,Premium Luxury,Automatic,Saudi,Full,2020,3.5,19700,395000
Accord,Sedan,Jeddah,Honda,Midrange,Automatic,Saudi,Semi Full,2018,1.6,32000,97000
Pajero,SUV,Al-Ahsa,Mitsubishi,Midrange,Automatic,Saudi,Semi Full,2015,3.5,99000,55000
Expedition,SUV,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2013,5.4,235000,50000
Land Cruiser,SUV,Jeddah,Toyota,Midrange,Automatic,Gulf Arabic,Full,2019,4.5,95000,233000
S5,Other,Dammam,Audi,Premium Luxury,Automatic,Saudi,Full,2018,3.0,79800,160000
Sunny,Sedan,Qassim,Nissan,Midrange,Automatic,Gulf Arabic,Standard,2016,1.5,158000,23000
Yaris,Hatchback,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2017,1.5,133000,29000
ES,Luxury,Riyadh,Lexus,Premium Luxury,Automatic,Gulf Arabic,Full,2018,2.4,20000,126000
FJ,SUV,Aseer,Toyota,Midrange,Automatic,Saudi,Full,2017,7.5,138000,118000
Yukon,SUV,Dammam,GMC,Midrange,Automatic,Other,Full,2016,5.3,213000,146000
911,Coupe/Sports,Dammam,Porsche,Premium Luxury,Automatic,Saudi,Full,2013,3.5,26000,280000
Accent,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Standard,2019,1.4,78000,40000
Camry,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2020,2.5,22000,77000
Land Cruiser,SUV,Jeddah,Toyota,Midrange,Automatic,Gulf Arabic,Full,2019,4.0,106665,205000
Sierra,SUV,Najran,GMC,Midrange,Automatic,Other,Full,2014,5.3,235,72000
Optima,Sedan,Al-Medina,Kia,Midrange,Automatic,Gulf Arabic,Full,2014,2.4,200,45000
Sentra,Other,Al-Ahsa,Nissan,Midrange,Automatic,Gulf Arabic,Standard,2018,1.6,97000,39000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2019,1.4,39750,40000
ML,SUV,Jeddah,Mercedes,Premium Luxury,Automatic,Saudi,Full,2000,3.3,111744,18000
F150,Pickup,Qassim,Ford,Midrange,Automatic,Gulf Arabic,Semi Full,2016,5.0,115000,93000
Suburban,Other,Aseer,GMC,Midrange,Automatic,Saudi,Semi Full,2004,5.3,135000,18500
Land Cruiser,SUV,Jeddah,Toyota,Midrange,Automatic,Saudi,Full,2015,4.0,92000,165000
Elantra,Sedan,Jeddah,Hyundai,Midrange,Automatic,Saudi,Full,2020,2.0,44000,61000
ES,Luxury,Al-Baha,Lexus,Premium Luxury,Automatic,Saudi,Standard,2009,3.6,300000,43000
Accent,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Standard,2018,1.4,31000,35000
Corolla,Sedan,Jeddah,Toyota,Midrange,Automatic,Saudi,Standard,2020,1.6,109885,57000
S,Other,Al-Medina,Mercedes,Premium Luxury,Automatic,Saudi,Full,2011,3.0,189,100000
Hilux,Pickup,Jazan,Toyota,Midrange,Manual,Saudi,Full,2015,2.7,234000,56000
Sorento,Other,Riyadh,Kia,Midrange,Automatic,Saudi,Full,2015,3.5,116731,52000
Datsun,Other,Dammam,Nissan,Midrange,Manual,Saudi,Semi Full,2016,2.4,39000,52000
Pathfinder,SUV,Riyadh,Nissan,Midrange,Automatic,Saudi,Semi Full,2013,3.5,127000,38000
Rav4,SUV,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2016,2.0,216000,60000
M,Other,Riyadh,INFINITI,Premium Luxury,Automatic,Saudi,Full,2007,4.5,303000,10000
Datsun,Other,Aseer,Nissan,Midrange,Manual,Saudi,Full,2015,2.4,28000,48000
Expedition,SUV,Al-Medina,Ford,Midrange,Automatic,Saudi,Semi Full,2003,5.4,400000,5000
Land Cruiser,SUV,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2019,4.6,60000,240000
Escalade,Other,Riyadh,Cadillac,Premium Luxury,Automatic,Saudi,Full,2009,6.2,219000,50000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2017,1.4,69000,34000
Furniture,Other,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2013,2.7,350000,50000
Corolla,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2018,1.6,90084,50000
CLA,Sedan,Riyadh,Mercedes,Premium Luxury,Automatic,Other,Standard,2020,2.0,20000,235000
6,Sedan,Jeddah,Mazda,Midrange,Automatic,Saudi,Full,2019,2.5,50000,90000
Camry,Sedan,Najran,Toyota,Midrange,Manual,Other,Standard,2002,2.4,450000,14000
Tahoe,SUV,Jeddah,Chevrolet,Midrange,Automatic,Saudi,Standard,2012,5.3,297000,52000
Range Rover,SUV,Qassim,Land Rover,Premium Luxury,Automatic,Gulf Arabic,Semi Full,2015,5.0,103000,225000
Range Rover,SUV,Riyadh,Land Rover,Premium Luxury,Automatic,Saudi,Semi Full,2015,3.0,125000,165000
C,Other,Jeddah,Mercedes,Premium Luxury,Automatic,Saudi,Full,2014,1.8,148925,79500
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2019,1.4,102113,39500
Cadenza,Sedan,Riyadh,Kia,Midrange,Automatic,Saudi,Standard,2016,3.5,130000,56000
Caprice,Sedan,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Standard,2013,6.0,313000,35000
Defender,SUV,Jeddah,Land Rover,Premium Luxury,Automatic,Saudi,Full,2021,3.0,100,450000
Corolla,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2018,1.6,103966,43500
Camry,Sedan,Qassim,Toyota,Midrange,Automatic,Gulf Arabic,Standard,2016,2.5,73000,61000
Pajero,SUV,Riyadh,Mitsubishi,Midrange,Automatic,Saudi,Semi Full,2016,3.5,193000,45000
Corolla,Sedan,Khobar,Toyota,Midrange,Automatic,Saudi,Standard,2018,2.0,245000,41000
Accord,Sedan,Riyadh,Honda,Midrange,Automatic,Gulf Arabic,Semi Full,2016,2.4,80000,69000
X,Other,Riyadh,BMW,Premium Luxury,Automatic,Gulf Arabic,Full,2016,4.4,130341,161500
Yukon,SUV,Jeddah,GMC,Midrange,Automatic,Other,Semi Full,2002,5.3,300000,10000
Elantra,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2019,1.6,91959,48500
Ciocca,Other,Najran,Toyota,Midrange,Automatic,Saudi,Semi Full,2016,5.7,117000,140000
Land Cruiser,SUV,Riyadh,Toyota,Midrange,Automatic,Gulf Arabic,Full,2018,5.7,42000,241000
Caprice,Sedan,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Standard,2013,6.0,124628,75000
Pajero,SUV,Dammam,Mitsubishi,Midrange,Automatic,Saudi,Semi Full,2017,3.5,159000,55000
Hilux,Pickup,Jeddah,Toyota,Midrange,Manual,Saudi,Standard,2016,2.7,155000,75000
Daily,Truck/Bus,Riyadh,Iveco,Entry Level,Manual,Saudi,Standard,2018,3.0,116000,92000
Malibu,Sedan,Dammam,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2017,2.5,176000,49000
Tahoe,SUV,Jeddah,Chevrolet,Midrange,Automatic,Saudi,Standard,2017,5.3,136517,107000
Yukon,SUV,Riyadh,GMC,Midrange,Automatic,Saudi,Full,2013,5.3,206000,90000
Range Rover,SUV,Riyadh,Land Rover,Premium Luxury,Automatic,Gulf Arabic,Full,2020,5.0,36000,540000
Yukon,SUV,Riyadh,GMC,Midrange,Automatic,Saudi,Full,2008,5.3,382000,45000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Full,2018,2.4,135000,58000
Terrain,Other,Jeddah,GMC,Midrange,Automatic,Saudi,Semi Full,2013,2.4,90000,35000
Patrol,SUV,Al-Medina,Nissan,Midrange,Manual,Saudi,Standard,1999,1.6,600,16000
LX,Other,Jeddah,Lexus,Premium Luxury,Automatic,Saudi,Full,2018,5.7,95000,355000
Nitro,Other,Riyadh,Dodge,Midrange,Automatic,Saudi,Full,2011,3.7,230000,17000
Yaris,Hatchback,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2019,1.5,70000,39000
LS,Luxury,Taef,Lexus,Premium Luxury,Automatic,Saudi,Full,2012,1.8,150000,95000
Innova,MPV,Riyadh,Toyota,Midrange,Automatic,Gulf Arabic,Full,2016,2.7,190000,65000
CX9,SUV,Jeddah,Mazda,Midrange,Automatic,Saudi,Full,2015,2.5,115000,82000
Pilot,SUV,Jeddah,Honda,Midrange,Automatic,Saudi,Semi Full,2016,1.6,103000,85000
ES,Luxury,Jazan,Lexus,Premium Luxury,Automatic,Saudi,Standard,2021,2.5,13500,172500
S,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Gulf Arabic,Full,2015,3.0,53000,260000
LX,Other,Abha,Lexus,Premium Luxury,Automatic,Saudi,Full,2014,5.7,342,150000
Land Cruiser,SUV,Dammam,Toyota,Midrange,Automatic,Gulf Arabic,Semi Full,2001,4.6,390000,35000
Innova,MPV,Jeddah,Toyota,Midrange,Automatic,Saudi,Full,2017,2.7,130000,67000
Yukon,SUV,Jeddah,GMC,Midrange,Automatic,Saudi,Standard,2011,8.0,320000,50000
Yukon,SUV,Al-Ahsa,GMC,Midrange,Automatic,Saudi,Full,2014,6.2,36000,95000
Victoria,Sedan,Aseer,Ford,Midrange,Automatic,Saudi,Standard,2002,4.6,368000,10000
Odyssey,MPV,Riyadh,Honda,Midrange,Automatic,Gulf Arabic,Standard,2016,2.4,87000,65000
Camry,Sedan,Dammam,Toyota,Midrange,Manual,Saudi,Full,2010,2.4,390000,20000
Avalon,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2015,3.5,249539,77500
Patrol,SUV,Dammam,Nissan,Midrange,Automatic,Saudi,Semi Full,2014,5.6,200000,105000
RX,SUV,Jeddah,Lexus,Premium Luxury,Automatic,Saudi,Full,2015,3.5,49000,123000
RX,SUV,Riyadh,Lexus,Premium Luxury,Automatic,Saudi,Full,2016,3.5,104000,148000
Wrangler,Other,Riyadh,Jeep,Midrange,Automatic,Gulf Arabic,Full,2017,3.6,42000,110000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2019,2.4,78000,62000
Prado,Other,Dammam,Toyota,Midrange,Automatic,Saudi,Semi Full,2016,4.0,97000,119000
Accent,Sedan,Al-Ahsa,Hyundai,Midrange,Automatic,Saudi,Semi Full,2018,1.4,95000,41000
XJ,Other,Jeddah,Jaguar,Premium Luxury,Automatic,Saudi,Full,2015,3.0,57000,180000
Land Cruiser,SUV,Dammam,Toyota,Midrange,Automatic,Gulf Arabic,Full,2021,4.6,10000,290000
Accord,Sedan,Al-Ahsa,Honda,Midrange,Automatic,Saudi,Full,2016,3.5,183000,67000
CS75,SUV,Riyadh,Changan,Entry Level,Automatic,Saudi,Full,2019,1.8,83425,51500
Camry,Sedan,Riyadh,Toyota,Midrange,Automatic,Gulf Arabic,Standard,2020,2.5,4443,84500
Senta fe,SUV,Aseer,Hyundai,Midrange,Automatic,Saudi,Semi Full,2016,3.3,255000,51000
3,Other,Dammam,Mazda,Midrange,Automatic,Gulf Arabic,Standard,2016,1.6,165000,45000
G80,Luxury,Riyadh,Genesis,Premium Luxury,Automatic,Saudi,Semi Full,2018,3.8,127000,93000
Innova,MPV,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2015,2.7,195000,52000
G80,Luxury,Riyadh,Genesis,Premium Luxury,Automatic,Saudi,Semi Full,2016,3.8,165061,85500
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2017,1.6,103000,31000
Explorer,SUV,Al-Medina,Ford,Midrange,Automatic,Saudi,Standard,2010,6.0,244,17500
Mohave,SUV,Al-Ahsa,Kia,Midrange,Automatic,Saudi,Full,2014,3.8,200350,40000
Camry,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2019,2.5,124004,65000
Land Cruiser,SUV,Jeddah,Toyota,Midrange,Automatic,Saudi,Full,2018,5.7,126000,260000
ES,Luxury,Yanbu,Lexus,Premium Luxury,Automatic,Saudi,Full,2019,2.5,62000,195000
Azera,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Full,2015,3.0,272783,36000
X,Other,Riyadh,BMW,Premium Luxury,Automatic,Saudi,Full,2015,3.0,98000,150000
Expedition,SUV,Riyadh,Ford,Midrange,Automatic,Saudi,Semi Full,2016,5.4,109000,72000
LX,Other,Riyadh,Lexus,Premium Luxury,Automatic,Gulf Arabic,Full,2020,5.7,455000,455000
Elantra,Sedan,Riyadh,Hyundai,Midrange,Manual,Other,Semi Full,2011,2.0,290,12000
Avalon,Sedan,Khobar,Toyota,Midrange,Automatic,Saudi,Standard,2019,3.5,47000,116000
Taurus,Sedan,Dammam,Ford,Midrange,Automatic,Other,Full,2015,3.5,112000,81000
Prado,Other,Dammam,Toyota,Midrange,Automatic,Saudi,Semi Full,2020,4.0,17000,173000
The 7,Luxury,Abha,BMW,Premium Luxury,Automatic,Saudi,Full,2003,2.0,106000,34000
Passat,Sedan,Jeddah,Volkswagen,Midrange,Automatic,Saudi,Semi Full,2012,2.5,216000,22000
Camaro,Coupe/Sports,Dammam,Chevrolet,Midrange,Automatic,Other,Full,2018,3.6,118000,119000
Rav4,SUV,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2012,2.5,234000,30000
E,Other,Makkah,Mercedes,Premium Luxury,Automatic,Saudi,Full,2020,2.0,10000,285000
Cerato,Other,Jazan,Kia,Midrange,Automatic,Saudi,Semi Full,2015,1.6,190000,33000
KICKS,SUV,Riyadh,Nissan,Midrange,Automatic,Saudi,Semi Full,2020,1.6,200,66000
S,Other,Dammam,Mercedes,Premium Luxury,Automatic,Other,Semi Full,2007,3.0,200000,75000
Cayenne,Other,Riyadh,Porsche,Premium Luxury,Automatic,Saudi,Full,2019,3.6,36000,360000
Tahoe,SUV,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2013,5.3,200000,55000
Hilux,Pickup,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2021,2.4,4000,158500
Expedition,SUV,Al-Medina,Ford,Midrange,Automatic,Other,Full,2007,3.0,423000,29000
Marquis,Sedan,Taef,Ford,Midrange,Automatic,Saudi,Semi Full,2008,4.6,380000,15000
Sonata,Sedan,Aseer,Hyundai,Midrange,Automatic,Saudi,Semi Full,2018,2.4,72000,65000
Range Rover,SUV,Al-Medina,Land Rover,Premium Luxury,Automatic,Saudi,Full,2010,5.0,188000,62000
Impala,Sedan,Riyadh,Chevrolet,Midrange,Automatic,Gulf Arabic,Standard,2016,3.5,114000,65000
Cruze,Sedan,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2014,1.8,135020,24000
Corolla,Sedan,Tabouk,Toyota,Midrange,Automatic,Saudi,Full,2015,1.6,90000,45000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Full,2019,2.4,5400,78000
Avalon,Sedan,Jeddah,Toyota,Midrange,Automatic,Saudi,Full,2020,3.5,33000,164000
Malibu,Sedan,Qassim,Chevrolet,Midrange,Automatic,Saudi,Standard,2018,2.0,135000,46500
Sunny,Sedan,Dammam,Nissan,Midrange,Automatic,Saudi,Standard,2018,1.5,99000,26000
ES,Luxury,Riyadh,Lexus,Premium Luxury,Automatic,Saudi,Full,2020,3.5,33000,210000
C,Other,Dammam,Mercedes,Premium Luxury,Automatic,Gulf Arabic,Full,2016,2.0,129000,134000
Sportage,Other,Riyadh,Kia,Midrange,Automatic,Saudi,Standard,2019,1.6,69358,60500
Accent,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Standard,2017,1.6,120000,30000
Tahoe,SUV,Dammam,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2020,5.7,99000,145000
S,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Saudi,Full,2014,3.0,90000,220000
Yukon,SUV,Dammam,GMC,Midrange,Automatic,Saudi,Full,2014,5.3,327000,77000
Elantra,Sedan,Riyadh,Hyundai,Midrange,Automatic,Other,Standard,2016,1.6,55000,48000
Mini Van,Van,Riyadh,Foton,Entry Level,Manual,Gulf Arabic,Standard,2017,2.7,145000,39500
Expedition,SUV,Riyadh,Ford,Midrange,Automatic,Saudi,Semi Full,2014,5.4,150000,52000
Tucson,SUV,Jeddah,Hyundai,Midrange,Automatic,Saudi,Standard,2018,2.0,120000,62000
LX,Other,Dammam,Lexus,Premium Luxury,Automatic,Saudi,Full,2020,5.7,30000,468000
Escalade,Other,Riyadh,Cadillac,Premium Luxury,Automatic,Other,Semi Full,2007,8.0,166000,48000
The 7,Luxury,Riyadh,BMW,Premium Luxury,Automatic,Saudi,Semi Full,2018,3.6,36000,230000
Avalon,Sedan,Aseer,Toyota,Midrange,Automatic,Saudi,Full,2012,3.5,225000,75000
Land Cruiser,SUV,Qassim,Toyota,Midrange,Automatic,Saudi,Full,2012,8.0,228000,112000
Sorento,Other,Jubail,Kia,Midrange,Automatic,Saudi,Full,2015,3.8,167160,43000
Hiace,Van,Dammam,Toyota,Midrange,Manual,Saudi,Standard,2015,2.7,178000,60000
Tucson,SUV,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2016,2.0,200000,39000
300,Sedan,Al-Ahsa,Chrysler,Entry Level,Automatic,Other,Full,2014,5.7,188000,57000
GL,SUV,Dammam,Mercedes,Premium Luxury,Automatic,Saudi,Full,2014,4.6,139000,135000
Mustang,Coupe/Sports,Makkah,Ford,Midrange,Automatic,Saudi,Full,2007,4.6,195,27000
Taurus,Sedan,Dammam,Ford,Midrange,Automatic,Other,Semi Full,2017,3.5,61000,73000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2020,2.5,22000,85000
VTC,Other,Al-Ahsa,Nissan,Midrange,Manual,Saudi,Standard,2015,4.8,340000,49000
Silverado,Pickup,Khobar,Chevrolet,Midrange,Automatic,Gulf Arabic,Full,2019,5.3,77000,185000
Expedition,SUV,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2016,3.5,103000,83000
LX,Other,Riyadh,Lexus,Premium Luxury,Automatic,Saudi,Full,2018,1.0,105000,355000
FJ,SUV,Dammam,Toyota,Midrange,Automatic,Saudi,Semi Full,2015,4.0,110000,115000
Grand Cherokee,SUV,Al-Ahsa,Jeep,Midrange,Automatic,Other,Full,2011,5.7,266000,36000
Hilux,Pickup,Riyadh,Toyota,Midrange,Manual,Gulf Arabic,Semi Full,2020,2.7,15000,105000
Senta fe,SUV,Khobar,Hyundai,Midrange,Automatic,Saudi,Full,2015,3.3,246000,60000
Land Cruiser,SUV,Aseer,Toyota,Midrange,Automatic,Saudi,Full,2011,4.6,434,85000
IS,Sedan,Dammam,Lexus,Premium Luxury,Automatic,Other,Full,2015,3.5,132000,106000
Elantra,Sedan,Jeddah,Hyundai,Midrange,Automatic,Saudi,Standard,2018,1.6,144000,45000
Land Cruiser,SUV,Al-Ahsa,Toyota,Midrange,Automatic,Saudi,Full,2015,4.7,137000,150000
Camry,Sedan,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2017,2.5,380000,43000
Elantra,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Full,2016,2.0,4000,48000
Grand Cherokee,SUV,Abha,Jeep,Midrange,Automatic,Saudi,Standard,2014,5.7,233000,50000
S,Other,Taef,Mercedes,Premium Luxury,Automatic,Gulf Arabic,Full,2015,1.8,113,240000
Sunny,Sedan,Al-Medina,Nissan,Midrange,Automatic,Saudi,Standard,2019,1.5,89000,29000
Innova,MPV,Dammam,Toyota,Midrange,Automatic,Saudi,Semi Full,2016,2.7,179600,51000
Hilux,Pickup,Dammam,Toyota,Midrange,Manual,Gulf Arabic,Standard,2016,2.7,97173,64000
Yukon,SUV,Riyadh,GMC,Midrange,Automatic,Saudi,Semi Full,2007,5.3,359000,38000
CX9,SUV,Riyadh,Mazda,Midrange,Automatic,Saudi,Full,2015,3.7,217162,68500
Furniture,Other,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2019,3.5,40000,120000
Previa,MPV,Riyadh,Toyota,Midrange,Automatic,Other,Standard,2009,1.7,400000,15000
X,Other,Qassim,BMW,Premium Luxury,Automatic,Other,Full,2020,4.0,1000,410000
Accord,Sedan,Dammam,Honda,Midrange,Automatic,Gulf Arabic,Full,2019,1.5,8200,107000
Camry,Sedan,Qassim,Toyota,Midrange,Automatic,Saudi,Full,2017,2.5,253641,62000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2019,2.4,70676,59500
VTC,Other,Dammam,Nissan,Midrange,Manual,Saudi,Semi Full,2000,4.8,490000,30000
GS,Other,Riyadh,Lexus,Premium Luxury,Automatic,Gulf Arabic,Semi Full,2019,3.5,62000,170000
Camry,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2017,2.5,167000,80000
Suburban,Other,Aseer,GMC,Midrange,Automatic,Saudi,Semi Full,2000,6.0,128000,80000
Innova,MPV,Jeddah,Toyota,Midrange,Automatic,Saudi,Semi Full,2018,2.0,99000,64000
S300,Sedan,Jeddah,Chrysler,Entry Level,Automatic,Other,Semi Full,2015,3.6,106000,75000
RX8,SUV,Aseer,MG,Midrange,Automatic,Saudi,Full,2021,2.0,4000,105000
Camry,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Semi Full,2006,2.4,240000,20000
Tahoe,SUV,Jeddah,Chevrolet,Midrange,Automatic,Saudi,Full,2010,5.3,250000,55000
Land Cruiser,SUV,Dammam,Toyota,Midrange,Automatic,Gulf Arabic,Full,2019,4.6,6000,267000
Cadenza,Sedan,Riyadh,Kia,Midrange,Automatic,Saudi,Semi Full,2021,3.5,32031,111500
Echo Sport,Other,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2016,1.5,217000,25000
LX,Other,Taef,Lexus,Premium Luxury,Automatic,Saudi,Full,2014,5.0,100000,320000
Datsun,Other,Makkah,Nissan,Midrange,Manual,Saudi,Standard,2015,1.9,142000,39000
Elantra,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2016,2.0,280,33000
Mustang,Coupe/Sports,Dammam,Ford,Midrange,Automatic,Other,Full,2016,2.3,84000,97000
Azera,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Full,2018,3.5,50000,85000
Impala,Sedan,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Standard,2018,3.6,110519,58500
S,Other,Dammam,Mercedes,Premium Luxury,Automatic,Saudi,Semi Full,2018,3.0,590,390000
Land Cruiser 70,SUV,Aseer,Toyota,Midrange,Manual,Saudi,Full,2019,4.0,26000,130000
3,Other,Riyadh,MG,Midrange,Manual,Saudi,Standard,2013,1.3,41000,15000
Grand Cherokee,SUV,Jubail,Jeep,Midrange,Automatic,Saudi,Semi Full,2014,5.7,175000,70000
Range Rover,SUV,Al-Medina,Land Rover,Premium Luxury,Automatic,Saudi,Full,2017,5.2,77000,275000
Gran Max,Pickup,Riyadh,Daihatsu,Entry Level,Manual,Saudi,Standard,2014,1.5,254000,25000
Furniture,Other,Jeddah,Toyota,Midrange,Automatic,Saudi,Standard,2014,2.7,127000,57000
Camry,Sedan,Jeddah,Toyota,Midrange,Automatic,Saudi,Standard,2010,2.4,255,33500
Land Cruiser 70,SUV,Riyadh,Toyota,Midrange,Manual,Gulf Arabic,Semi Full,2016,4.0,177000,90000
Camry,Sedan,Al-Ahsa,Toyota,Midrange,Automatic,Saudi,Full,2016,2.5,300000,50000
Yukon,SUV,Makkah,GMC,Midrange,Automatic,Saudi,Full,2007,4.7,300000,35000
E,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Other,Standard,2019,2.0,38000,216000
Pegas,Other,Riyadh,Kia,Midrange,Automatic,Saudi,Standard,2020,1.4,5300,37500
FJ,SUV,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2015,1.0,190000,98000
Cayenne,Other,Khobar,Porsche,Premium Luxury,Automatic,Saudi,Standard,2016,3.6,121,160000
Camry,Sedan,Makkah,Toyota,Midrange,Manual,Saudi,Full,2008,2.4,360000,19000
Cores,Other,Jeddah,Kia,Midrange,Automatic,Saudi,Full,2014,3.5,81000,78000
Hilux,Pickup,Riyadh,Toyota,Midrange,Manual,Saudi,Standard,2015,2.7,300000,75000
Traverse,Other,Jeddah,Chevrolet,Midrange,Automatic,Saudi,Standard,2010,3.6,219,22000
Grand Vitara,SUV,Riyadh,Suzuki,Entry Level,Manual,Saudi,Semi Full,2013,2.0,16000,35000
