Type,Body_Type,Region,Make,Make_Tier,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Rio,Hatchback,Jeddah,Kia,Midrange,Automatic,Other,Standard,2017,1.4,147000,26000
Maxima,Sedan,Dammam,Nissan,Midrange,Automatic,Other,Semi Full,2011,3.5,34000,20000
X-Trail,SUV,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2018,2.5,30507,69500
Cruze,Sedan,Taef,Chevrolet,Midrange,Automatic,Saudi,Standard,2013,1.8,175,15000
Taurus,Sedan,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2019,2.0,54000,80000
Taurus,Sedan,Dammam,Ford,Midrange,Automatic,Saudi,Semi Full,2012,3.5,327000,35000
Sunny,Sedan,Dammam,Nissan,Midrange,Automatic,Saudi,Standard,2018,1.5,94000,28500
ES,Luxury,Dammam,Lexus,Premium Luxury,Automatic,Other,Full,2019,3.5,40000,185000
Elantra,Sedan,Taef,Hyundai,Midrange,Manual,Saudi,Standard,2007,1.6,191700,13000
Land Cruiser,SUV,Riyadh,Toyota,Midrange,Automatic,Saudi,Semi Full,2005,4.0,446,50000
C,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Other,Full,2017,3.0,210000,210000
Tahoe,SUV,Aseer,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2011,5.3,275000,40000
S,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Other,Full,2017,3.0,26000,245000
FJ,SUV,Jeddah,Toyota,Midrange,Automatic,Saudi,Standard,2016,4.0,130,100000
Seven,Other,Riyadh,Changan,Entry Level,Automatic,Saudi,Standard,2020,1.5,55531,27500
Expedition,SUV,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2016,3.5,70263,89000
Accent,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Standard,2018,1.4,105500,32000
Malibu,Sedan,Dammam,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2017,2.5,175000,49000
Land Cruiser,SUV,Riyadh,Toyota,Midrange,Automatic,Gulf Arabic,Full,2016,4.6,42000,138000
Prado,Other,Riyadh,Toyota,Midrange,Automatic,Gulf Arabic,Semi Full,2017,4.0,67357,126000
Range Rover,SUV,Riyadh,Land Rover,Premium Luxury,Automatic,Gulf Arabic,Full,2016,5.0,58000,250000
C300,Sedan,Riyadh,Chrysler,Entry Level,Automatic,Saudi,Full,2013,5.7,340000,40000
6,Sedan,Riyadh,Mazda,Midrange,Automatic,Gulf Arabic,Standard,2015,2.0,82914,53000
Focus,Hatchback,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2012,1.6,181,15000
Elantra,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2017,2.0,285000,36000
Sierra,SUV,Taef,GMC,Midrange,Automatic,Gulf Arabic,Semi Full,2000,1.5,400000,10000
Caprice,Sedan,Al-Baha,Chevrolet,Midrange,Automatic,Other,Full,2009,6.0,350000,15000
Land Cruiser 70,SUV,Riyadh,Toyota,Midrange,Manual,Saudi,Standard,2018,4.0,86852,109000
Expedition,SUV,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2009,5.4,360,32000
G80,Luxury,Riyadh,Genesis,Premium Luxury,Automatic,Saudi,Semi Full,2018,3.8,160000,100000
Land Cruiser,SUV,Riyadh,Toyota,Midrange,Automatic,Gulf Arabic,Full,2019,4.0,30000,194500
Grand Marquis,Sedan,Dammam,Mercury,Entry Level,Automatic,Saudi,Semi Full,2000,3.8,179000,14000
3,Other,Al-Medina,Mazda,Midrange,Automatic,Saudi,Standard,2018,2.0,31000,54000
Camry,Sedan,Al-Baha,Toyota,Midrange,Automatic,Gulf Arabic,Standard,2014,2.2,80250,55000
ES,Luxury,Riyadh,Lexus,Premium Luxury,Automatic,Other,Full,2018,3.5,66000,139000
Pajero,SUV,Riyadh,Mitsubishi,Midrange,Automatic,Saudi,Full,2016,3.8,200,56000
The 5,Luxury,Jubail,BMW,Premium Luxury,Automatic,Gulf Arabic,Standard,2018,2.0,16000,145000
CT-S,Other,Dammam,Cadillac,Premium Luxury,Automatic,Saudi,Semi Full,2019,2.0,43000,135000
Malibu,Sedan,Jeddah,Chevrolet,Midrange,Automatic,Other,Semi Full,2013,2.5,220000,21000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2017,2.4,166000,43000
LX,Other,Riyadh,Lexus,Premium Luxury,Automatic,Saudi,Full,2014,5.7,220000,180000
C,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Gulf Arabic,Semi Full,2015,2.0,173000,108000
Impala,Sedan,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2017,3.6,122102,53500
QX,Other,Dammam,INFINITI,Premium Luxury,Automatic,Saudi,Full,2016,5.6,185000,119000
Seven,Other,Riyadh,Changan,Entry Level,Automatic,Saudi,Standard,2021,1.5,11000,32500
